#
# National Water Information System
# 2013/12/18
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	CASRN	SRSName	parm_unit
00906	Physical	Hardness, water, filtered, calculated, milligrams per liter as calcium carbonate	 	Total hardness -- SDWA NPDWR	mg/l CaCO3
00907	Physical	Hardness, water, unfiltered, calculated, milligrams per liter as calcium carbonate	 	Total hardness -- SDWA NPDWR	mg/l CaCO3
00908	Physical	Hardness, water, filtered, measured, milligrams per liter as calcium carbonate	 	Total hardness -- SDWA NPDWR	mg/l CaCO3
00909	Physical	Hardness, water, unfiltered, measured, milligrams per liter as calcium carbonate	 	Total hardness -- SDWA NPDWR	mg/l CaCO3
00910	Inorganics, Major, Metals	Calcium, water, unfiltered, milligrams per liter as calcium carbonate	7440-70-2	Calcium	mg/l CaCO3
00915	Inorganics, Major, Metals	Calcium, water, filtered, milligrams per liter	7440-70-2	Calcium	mg/l
00916	Inorganics, Major, Metals	Calcium, water, unfiltered, recoverable, milligrams per liter	7440-70-2	Calcium	mg/l
00917	Inorganics, Major, Metals	Calcium, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-70-2	Calcium	mg/kg
00918	Inorganics, Major, Metals	Calcium, water, unfiltered, recoverable, milligrams per liter	7440-70-2	Calcium	mg/l
00920	Inorganics, Major, Metals	Magnesium, water, unfiltered, milligrams per liter as calcium carbonate	7439-95-4	Magnesium	mg/l CaCO3
00921	Inorganics, Major, Metals	Magnesium, water, unfiltered, recoverable, milligrams per liter	7439-95-4	Magnesium	mg/l
00923	Inorganics, Major, Metals	Sodium, water, unfiltered, recoverable, milligrams per liter	7440-23-5	Sodium	mg/l
00924	Inorganics, Major, Metals	Magnesium, bed sediment, recoverable, dry weight, milligrams per kilogram	7439-95-4	Magnesium	mg/kg
00925	Inorganics, Major, Metals	Magnesium, water, filtered, milligrams per liter	7439-95-4	Magnesium	mg/l
00926	Inorganics, Major, Metals	Magnesium, suspended sediment, total, milligrams per liter	7439-95-4	Magnesium	mg/l
00927	Inorganics, Major, Metals	Magnesium, water, unfiltered, recoverable, milligrams per liter	7439-95-4	Magnesium	mg/l
00929	Inorganics, Major, Metals	Sodium, water, unfiltered, recoverable, milligrams per liter	7440-23-5	Sodium	mg/l
00930	Inorganics, Major, Metals	Sodium, water, filtered, milligrams per liter	7440-23-5	Sodium	mg/l
00931	Inorganics, Major, Metals	Sodium adsorption ratio, water, number	 	Sodium adsorption ratio	None
00932	Inorganics, Major, Metals	Sodium fraction of cations, water, percent in equivalents of major cations	 	Sodium, percent total cations	%
00933	Inorganics, Major, Metals	Sodium plus potassium, water, filtered, milligrams per liter as sodium	 	Sodium plus potassium	mg/l as Na
00934	Inorganics, Major, Metals	Sodium, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-23-5	Sodium	mg/kg
00935	Inorganics, Major, Metals	Potassium, water, filtered, milligrams per liter	7440-09-7	Potassium	mg/l
00937	Inorganics, Major, Metals	Potassium, water, unfiltered, recoverable, milligrams per liter	7440-09-7	Potassium	mg/l
00938	Inorganics, Major, Metals	Potassium, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-09-7	Potassium	mg/kg
00939	Inorganics, Major, Metals	Potassium, water, unfiltered, recoverable, milligrams per liter	7440-09-7	Potassium	mg/l
00940	Inorganics, Major, Non-metals	Chloride, water, filtered, milligrams per liter	16887-00-6	Chloride	mg/l
00945	Inorganics, Major, Non-metals	Sulfate, water, filtered, milligrams per liter	14808-79-8	Sulfate	mg/l
00946	Inorganics, Major, Non-metals	Sulfate, water, unfiltered, milligrams per liter	14808-79-8	Sulfate	mg/l
00950	Inorganics, Major, Non-metals	Fluoride, water, filtered, milligrams per liter	16984-48-8	Fluoride	mg/l
00951	Inorganics, Major, Non-metals	Fluoride, water, unfiltered, milligrams per liter	16984-48-8	Fluoride	mg/l
00953	Inorganics, Major, Non-metals	Fluorine, water, unfiltered, micrograms per liter	7782-41-4	Fluorine	ug/l
00954	Inorganics, Major, Non-metals	Silica, water, unfiltered, recoverable, micrograms per liter as SiO2	7631-86-9	Silica	ug/l
00955	Inorganics, Major, Non-metals	Silica, water, filtered, milligrams per liter as SiO2	7631-86-9	Silica	mg/l
00956	Inorganics, Major, Non-metals	Silica, water, unfiltered, milligrams per liter as SiO2	7631-86-9	Silica	mg/l
00978	Inorganics, Minor, Non-metals	Arsenic, water, unfiltered, recoverable, micrograms per liter	7440-38-2	Arsenic	ug/l
00985	Inorganics, Minor, Metals	Vanadium, water, unfiltered, recoverable, micrograms per liter	7440-62-2	Vanadium	ug/l
00997	Inorganics, Minor, Non-metals	Inorganic arsenic, water, unfiltered, micrograms per liter	 	 	ug/l
00998	Inorganics, Minor, Metals	Beryllium, water, unfiltered, recoverable, micrograms per liter	7440-41-7	Beryllium	ug/l
00999	Inorganics, Minor, Non-metals	Boron, water, unfiltered, recoverable, micrograms per liter	7440-42-8	Boron	ug/l
01000	Inorganics, Minor, Non-metals	Arsenic, water, filtered, micrograms per liter	7440-38-2	Arsenic	ug/l
01001	Inorganics, Minor, Non-metals	Arsenic, suspended sediment, total, micrograms per liter	7440-38-2	Arsenic	ug/l
01002	Inorganics, Minor, Non-metals	Arsenic, water, unfiltered, micrograms per liter	7440-38-2	Arsenic	ug/l
01003	Inorganics, Minor, Non-metals	Arsenic, bed sediment, total digestion, dry weight, milligrams per kilogram	7440-38-2	Arsenic	mg/kg
01005	Inorganics, Minor, Metals	Barium, water, filtered, micrograms per liter	7440-39-3	Barium	ug/l
01006	Inorganics, Minor, Metals	Barium, suspended sediment, recoverable, micrograms per liter	7440-39-3	Barium	ug/l
01007	Inorganics, Minor, Metals	Barium, water, unfiltered, recoverable, micrograms per liter	7440-39-3	Barium	ug/l
01008	Inorganics, Minor, Metals	Barium, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-39-3	Barium	mg/kg
01009	Inorganics, Minor, Metals	Barium, water, unfiltered, recoverable, micrograms per liter	7440-39-3	Barium	ug/l
01010	Inorganics, Minor, Metals	Beryllium, water, filtered, micrograms per liter	7440-41-7	Beryllium	ug/l
01011	Inorganics, Minor, Metals	Beryllium, suspended sediment, recoverable, micrograms per liter	7440-41-7	Beryllium	ug/l
01012	Inorganics, Minor, Metals	Beryllium, water, unfiltered, recoverable, micrograms per liter	7440-41-7	Beryllium	ug/l
01013	Inorganics, Minor, Metals	Beryllium, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-41-7	Beryllium	mg/kg
01015	Inorganics, Minor, Metals	Bismuth, water, filtered, micrograms per liter	7440-69-9	Bismuth	ug/l
01016	Inorganics, Minor, Metals	Bismuth, suspended sediment, micrograms per liter	7440-69-9	Bismuth	ug/l
01017	Inorganics, Minor, Metals	Bismuth, water, unfiltered, micrograms per liter	7440-69-9	Bismuth	ug/l
01020	Inorganics, Minor, Non-metals	Boron, water, filtered, micrograms per liter	7440-42-8	Boron	ug/l
01021	Inorganics, Minor, Non-metals	Boron, suspended sediment, recoverable, micrograms per liter	7440-42-8	Boron	ug/l
01022	Inorganics, Minor, Non-metals	Boron, water, unfiltered, recoverable, micrograms per liter	7440-42-8	Boron	ug/l
01023	Inorganics, Minor, Non-metals	Boron, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-42-8	Boron	mg/kg
01025	Inorganics, Minor, Metals	Cadmium, water, filtered, micrograms per liter	7440-43-9	Cadmium	ug/l
01026	Inorganics, Minor, Metals	Cadmium, suspended sediment, recoverable, micrograms per liter	7440-43-9	Cadmium	ug/l
01027	Inorganics, Minor, Metals	Cadmium, water, unfiltered, micrograms per liter	7440-43-9	Cadmium	ug/l
01028	Inorganics, Minor, Metals	Cadmium, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-43-9	Cadmium	mg/kg
01029	Inorganics, Minor, Metals	Chromium, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-47-3	Chromium	mg/kg
01030	Inorganics, Minor, Metals	Chromium, water, filtered, micrograms per liter	7440-47-3	Chromium	ug/l
01031	Inorganics, Minor, Metals	Chromium, suspended sediment, recoverable, micrograms per liter	7440-47-3	Chromium	ug/l
01032	Inorganics, Minor, Metals	Chromium(VI), water, filtered, micrograms per liter	18540-29-9	Chromium(VI)	ug/l
01033	Inorganics, Minor, Metals	Chromium(III), water, unfiltered, micrograms per liter	16065-83-1	Chromium(III)	ug/l
01034	Inorganics, Minor, Metals	Chromium, water, unfiltered, recoverable, micrograms per liter	7440-47-3	Chromium	ug/l
01035	Inorganics, Minor, Metals	Cobalt, water, filtered, micrograms per liter	7440-48-4	Cobalt	ug/l
01036	Inorganics, Minor, Metals	Cobalt, suspended sediment, recoverable, micrograms per liter	7440-48-4	Cobalt	ug/l
01037	Inorganics, Minor, Metals	Cobalt, water, unfiltered, recoverable, micrograms per liter	7440-48-4	Cobalt	ug/l
01038	Inorganics, Minor, Metals	Cobalt, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-48-4	Cobalt	mg/kg
01040	Inorganics, Minor, Metals	Copper, water, filtered, micrograms per liter	7440-50-8	Copper	ug/l
01041	Inorganics, Minor, Metals	Copper, suspended sediment, recoverable, micrograms per liter	7440-50-8	Copper	ug/l
01042	Inorganics, Minor, Metals	Copper, water, unfiltered, recoverable, micrograms per liter	7440-50-8	Copper	ug/l
01043	Inorganics, Minor, Metals	Copper, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-50-8	Copper	mg/kg
01044	Inorganics, Minor, Metals	Iron, suspended sediment, recoverable, micrograms per liter	7439-89-6	Iron	ug/l
01045	Inorganics, Minor, Metals	Iron, water, unfiltered, recoverable, micrograms per liter	7439-89-6	Iron	ug/l
01046	Inorganics, Minor, Metals	Iron, water, filtered, micrograms per liter	7439-89-6	Iron	ug/l
01047	Inorganics, Minor, Metals	Iron(II), water, filtered, micrograms per liter	15438-31-0	Iron, ion (Fe2+)	ug/l
01048	Inorganics, Minor, Metals	Iron(II) plus Iron(III), water, filtered, micrograms per liter	 	 	ug/l
01049	Inorganics, Minor, Metals	Lead, water, filtered, micrograms per liter	7439-92-1	Lead	ug/l
01050	Inorganics, Minor, Metals	Lead, suspended sediment, recoverable, micrograms per liter	7439-92-1	Lead	ug/l
01051	Inorganics, Minor, Metals	Lead, water, unfiltered, recoverable, micrograms per liter	7439-92-1	Lead	ug/l
01052	Inorganics, Minor, Metals	Lead, bed sediment, recoverable, dry weight, milligrams per kilogram	7439-92-1	Lead	mg/kg
01053	Inorganics, Minor, Metals	Manganese, bed sediment, recoverable, dry weight, milligrams per kilogram	7439-96-5	Manganese	mg/kg
01054	Inorganics, Minor, Metals	Manganese, suspended sediment, recoverable, micrograms per liter	7439-96-5	Manganese	ug/l
01055	Inorganics, Minor, Metals	Manganese, water, unfiltered, recoverable, micrograms per liter	7439-96-5	Manganese	ug/l
01056	Inorganics, Minor, Metals	Manganese, water, filtered, micrograms per liter	7439-96-5	Manganese	ug/l
01057	Inorganics, Minor, Metals	Thallium, water, filtered, micrograms per liter	7440-28-0	Thallium	ug/l
01058	Inorganics, Minor, Metals	Thallium, suspended sediment, recoverable, micrograms per liter	7440-28-0	Thallium	ug/l
01059	Inorganics, Minor, Metals	Thallium, water, unfiltered, micrograms per liter	7440-28-0	Thallium	ug/l
01060	Inorganics, Minor, Metals	Molybdenum, water, filtered, micrograms per liter	7439-98-7	Molybdenum	ug/l
01061	Inorganics, Minor, Metals	Molybdenum, suspended sediment, recoverable, micrograms per liter	7439-98-7	Molybdenum	ug/l
01062	Inorganics, Minor, Metals	Molybdenum, water, unfiltered, recoverable, micrograms per liter	7439-98-7	Molybdenum	ug/l
01063	Inorganics, Minor, Metals	Molybdenum, bed sediment, recoverable, dry weight, milligrams per kilogram	7439-98-7	Molybdenum	mg/kg
01064	Inorganics, Minor, Non-metals	Tellurium, water, unfiltered, micrograms per liter	13494-80-9	Tellurium	ug/l
01065	Inorganics, Minor, Metals	Nickel, water, filtered, micrograms per liter	7440-02-0	Nickel	ug/l
01066	Inorganics, Minor, Metals	Nickel, suspended sediment, recoverable, micrograms per liter	7440-02-0	Nickel	ug/l
01067	Inorganics, Minor, Metals	Nickel, water, unfiltered, recoverable, micrograms per liter	7440-02-0	Nickel	ug/l
01068	Inorganics, Minor, Metals	Nickel, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-02-0	Nickel	mg/kg
01072	Nutrient	Phosphorus, water, filtered, micrograms per liter as phosphorus	7723-14-0	 	ug/l
01074	Inorganics, Minor, Metals	Nickel, water, unfiltered, recoverable, micrograms per liter	7440-02-0	Nickel	ug/l
01075	Inorganics, Minor, Metals	Silver, water, filtered, micrograms per liter	7440-22-4	Silver	ug/l
01076	Inorganics, Minor, Metals	Silver, suspended sediment, recoverable, micrograms per liter	7440-22-4	Silver	ug/l
01077	Inorganics, Minor, Metals	Silver, water, unfiltered, recoverable, micrograms per liter	7440-22-4	Silver	ug/l
01078	Inorganics, Minor, Metals	Silver, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-22-4	Silver	mg/kg
01079	Inorganics, Minor, Metals	Silver, water, unfiltered, recoverable, micrograms per liter	7440-22-4	Silver	ug/l
01080	Inorganics, Minor, Metals	Strontium, water, filtered, micrograms per liter	7440-24-6	Strontium	ug/l
01081	Inorganics, Minor, Metals	Strontium, suspended sediment, recoverable, micrograms per liter	7440-24-6	Strontium	ug/l
01082	Inorganics, Minor, Metals	Strontium, water, unfiltered, recoverable, micrograms per liter	7440-24-6	Strontium	ug/l
01083	Inorganics, Minor, Metals	Strontium, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-24-6	Strontium	mg/kg
01084	Inorganics, Minor, Metals	Strontium, water, unfiltered, recoverable, micrograms per liter	7440-24-6	Strontium	ug/l
01085	Inorganics, Minor, Metals	Vanadium, water, filtered, micrograms per liter	7440-62-2	Vanadium	ug/l
01086	Inorganics, Minor, Metals	Vanadium, suspended sediment, total, micrograms per liter	7440-62-2	Vanadium	ug/l
01087	Inorganics, Minor, Metals	Vanadium, water, unfiltered, micrograms per liter	7440-62-2	Vanadium	ug/l
01088	Inorganics, Minor, Metals	Vanadium, bed sediment, total digestion, dry weight, milligrams per kilogram	7440-62-2	Vanadium	mg/kg
01090	Inorganics, Minor, Metals	Zinc, water, filtered, micrograms per liter	7440-66-6	Zinc	ug/l
01091	Inorganics, Minor, Metals	Zinc, suspended sediment, recoverable, micrograms per liter	7440-66-6	Zinc	ug/l
01092	Inorganics, Minor, Metals	Zinc, water, unfiltered, recoverable, micrograms per liter	7440-66-6	Zinc	ug/l
01093	Inorganics, Minor, Metals	Zinc, bed sediment, recoverable, dry weight, milligrams per kilogram	7440-66-6	Zinc	mg/kg
01094	Inorganics, Minor, Metals	Zinc, water, unfiltered, recoverable, micrograms per liter	7440-66-6	Zinc	ug/l
01095	Inorganics, Minor, Non-metals	Antimony, water, filtered, micrograms per liter	7440-36-0	Antimony	ug/l
01096	Inorganics, Minor, Non-metals	Antimony, suspended sediment, total, micrograms per liter	7440-36-0	Antimony	ug/l
01097	Inorganics, Minor, Non-metals	Antimony, water, unfiltered, micrograms per liter	7440-36-0	Antimony	ug/l
01098	Inorganics, Minor, Non-metals	Antimony, bed sediment, total digestion, dry weight, milligrams per kilogram	7440-36-0	Antimony	mg/kg
01100	Inorganics, Minor, Metals	Tin, water, filtered, micrograms per liter	7440-31-5	Tin	ug/l
01101	Inorganics, Minor, Metals	Tin, suspended sediment, recoverable, micrograms per liter	7440-31-5	Tin	ug/l
01102	Inorganics, Minor, Metals	Tin, water, unfiltered, recoverable, micrograms per liter	7440-31-5	Tin	ug/l
01103	Inorganics, Minor, Metals	Tin, bed sediment, recoverable, dry weight, micrograms per kilogram	7440-31-5	Tin	ug/kg
01104	Inorganics, Minor, Metals	Aluminum, water, unfiltered, recoverable, micrograms per liter	7429-90-5	Aluminum	ug/l
01105	Inorganics, Minor, Metals	Aluminum, water, unfiltered, recoverable, micrograms per liter	7429-90-5	Aluminum	ug/l
01106	Inorganics, Minor, Metals	Aluminum, water, filtered, micrograms per liter	7429-90-5	Aluminum	ug/l
